"id","area","feature","actor","user_story","expected_behavior","code_reference","test_method","initial_status","latest_status","errors_found","fix_notes","retest_status","evidence"
"US-001","Navigation","Global shell and top navigation","Visitor","As a visitor I want a stable top navigation so I can reach home, contacts and about from every page.","The nav remains visible at the top, the fIAq brand links to home, Inicio/Sobre are links, Contatos opens the department drawer, focus is visible and there is no horizontal overflow on mobile.","fiaq-app/src/routes/+layout.svelte; fiaq-app/src/lib/components/AppNav.svelte; fiaq-app/src/lib/components/FiaqBrand.svelte","Browser: visit all routes at mobile and desktop widths; keyboard tab through nav.","tested","pass","No horizontal overflow in route sweep.","No code change needed in this pass.","pass","qa-artifacts/2026-06-24-ui-user-stories/initial-results.json"
"US-002","Navigation","Department drawer","Visitor","As a visitor I want to open contacts and choose a department without losing context.","Clicking Contatos opens a right drawer, body scroll is locked, Escape/click outside closes it, focus is trapped, department links navigate to /contatos/:slug.","fiaq-app/src/lib/components/DepartmentsSidebar.svelte; fiaq-app/src/lib/data/departamentos.ts","Browser: open drawer, test Escape, focus trap and department link.","tested","pass","Close button had only title; transition-all remained on department links.","Added aria-label, overscroll containment and explicit transitions.","pass","qa-artifacts/2026-06-24-ui-user-stories/flow-drawer-mobile.png"
"US-003","Home","Ask from hero","Visitor","As a visitor I want to ask a question from the home page and land in the assistant with that question sent.","Submitting a non-empty prompt navigates to /chatbot?q=..., the chat sends it once, the input remains readable on mobile, and the send button is easy to tap.","fiaq-app/src/routes/+page.svelte; fiaq-app/src/routes/chatbot/+page.svelte","Browser: type in home search, submit, assert /chatbot and question bubble.","tested","pass","Mobile placeholder was too long and clipped beside the send button.","Changed placeholder to shorter text with ellipsis, added name/autocomplete.","pass","qa-artifacts/2026-06-24-ui-user-stories/retest-home-submit-mobile.png"
"US-004","Home","Open assistant without prompt","Visitor","As a visitor I want to open the assistant directly from home.","The assistant link opens /chatbot with empty state, suggestions and composer ready.","fiaq-app/src/routes/+page.svelte; fiaq-app/src/routes/chatbot/+page.svelte; fiaq-app/src/lib/components/chat/ChatWindow.vue","Browser: click assistant link and inspect empty state.","tested","pass","Chat empty state had unlabeled textarea and image without explicit dimensions.","Added composer aria-label/name and image width/height.","pass","qa-artifacts/2026-06-24-ui-user-stories/retest-mobile-chatbot.png"
"US-005","Home","FAQ categories","Visitor","As a visitor I want to browse FAQ categories by theme.","Categories load from /api/faq, show title/count/icon, lay out responsively, and each card opens /faq/:slug.","fiaq-app/src/routes/+page.svelte; fiaq-app/src/routes/api/faq/+server.ts","Browser and API: /api/faq returns categories; click first category.","tested","pass","No functional error; card transition used generic transition-all.","Changed category card transition to explicit border/shadow transition.","pass","qa-artifacts/2026-06-24-ui-user-stories/mobile-390-home.png; qa-artifacts/2026-06-24-ui-user-stories/initial-results.json"
"US-006","FAQ","Category page loading and not found","Visitor","As a visitor I want a category page to either show the selected FAQ or a clear not-found state.","Valid slug shows title/count/items; invalid slug shows Categoria nao encontrada and a link back home.","fiaq-app/src/routes/faq/[slug]/+page.svelte","Browser: visit valid and invalid FAQ slugs.","tested","pass","Valid and invalid routes rendered without overflow.","No code change needed for not-found path.","pass","qa-artifacts/2026-06-24-ui-user-stories/mobile-390-faq-matricula.png; qa-artifacts/2026-06-24-ui-user-stories/mobile-390-faq-missing-missing.png"
"US-007","FAQ","FAQ search","Visitor","As a visitor I want to search questions inside a category.","The search input filters by title/content, ignores accents/case, has a label, and shows an empty search state when nothing matches.","fiaq-app/src/routes/faq/[slug]/+page.svelte","Browser: enter matching and non-matching terms.","tested","pass","Placeholder used three dots and search field lacked name/autocomplete.","Added name, autocomplete off and typographic ellipsis.","pass","qa-artifacts/2026-06-24-ui-user-stories/flow-faq-search-mobile.png"
"US-008","FAQ","FAQ accordion and sources","Visitor","As a visitor I want to expand a question and see the answer plus official source.","Clicking a question toggles it, rendered markdown is readable, official source appears as a chip/link, and the CTA opens /chatbot.","fiaq-app/src/routes/faq/[slug]/+page.svelte; fiaq-app/src/lib/components/chat/SourceChip.svelte","Browser: expand/collapse item, click source and CTA.","tested","pass","Long FAQ titles were clipped because Button base uses whitespace nowrap.","Overrode FAQ buttons with h-auto, whitespace-normal and break-word title span.","pass","qa-artifacts/2026-06-24-ui-user-stories/retest-faq-mobile.png; qa-artifacts/2026-06-24-ui-user-stories/retest-results.json"
"US-009","Contacts","Department contact route","Visitor","As a visitor I want department contact pages with address, map and contact cards.","/contatos/:slug shows badge, description, address, map when available, contact cards and valid mail/phone/external links; invalid slug shows not-found state.","fiaq-app/src/routes/contatos/[slug]/+page.svelte; fiaq-app/src/lib/data/departamentos.ts","Browser: visit valid/invalid department, inspect cards and map.","tested","pass","No overflow or broken state found in route sweep.","No code change in this pass.","pass","qa-artifacts/2026-06-24-ui-user-stories/mobile-390-contatos-cic.png"
"US-010","About","Project explanation","Visitor","As a visitor I want to understand what fIAq is, its stack, IA flow and team.","/sobre shows brand, objective, technologies, IA explanation and team links without layout overflow.","fiaq-app/src/routes/sobre/+page.svelte","Browser: visit /sobre at mobile/desktop and inspect links.","tested","pass","No overflow found in route sweep.","No code change in this pass.","pass","qa-artifacts/2026-06-24-ui-user-stories/mobile-390-sobre.png"
"US-011","Chat","Empty assistant state and suggestions","Visitor","As a visitor I want a useful empty chat state with suggested questions.","Empty chat shows Sarue, greeting, suggestions, and clicking a suggestion sends that text once.","fiaq-app/src/lib/components/chat/ChatWindow.vue; fiaq-app/src/lib/stores/fiaq-chat.ts","Browser: /chatbot, inspect empty state and suggestions.","tested","pass","Sarue image had no explicit dimensions.","Added width/height to empty-state image.","pass","qa-artifacts/2026-06-24-ui-user-stories/retest-mobile-chatbot.png"
"US-012","Chat","Composer send behavior","Visitor","As a visitor I want to submit chat messages efficiently.","Typing text enables the send button, Enter sends, Shift/Alt/Ctrl/Meta+Enter does not send, textarea grows up to max height, and disabled state prevents duplicate sends.","fiaq-app/src/lib/components/chat/ChatComposer.vue","Browser: fill composer, Shift+Enter, then Enter submit.","tested","pass","Textarea had no accessible label/name; placeholder used three dots.","Added aria-label, name, inputmode and typographic ellipsis. Browser retest confirmed Shift+Enter did not send and Enter sent.","pass","qa-artifacts/2026-06-24-ui-user-stories/composer-keyboard-results.json"
"US-013","Chat","Mobile keyboard layout","Mobile visitor","As a mobile visitor I want the composer to stay usable when the on-screen keyboard is open.","Composer remains sticky above safe area, header/actions do not crowd the viewport while focused, text is at least 16px, and no content is hidden behind the composer.","fiaq-app/src/routes/chatbot/+page.svelte; fiaq-app/src/lib/components/chat/ChatComposer.vue; fiaq-app/src/lib/components/chat/ChatWindow.vue","Browser mobile viewport: focus composer, type, scroll, inspect overlap.","tested","pass","Message action buttons were hidden under the sticky composer after stream completion.","Increased bottom padding and changed scrollToBottom to scroll to document bottom so padding is respected.","pass","qa-artifacts/2026-06-24-ui-user-stories/retest-chat-scroll-mobile.png"
